rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,rating,genre,theaters,runtime,year,profit
123,2019-03-06,Captain Marvel,175000000,426829839,1129727388,153433423.0,PG-13,Action,4310.0,124.0,2019.0,954727388
124,2016-04-07,The Jungle Book,175000000,364001123,953554418,103261464.0,PG,Adventure,4144.0,105.0,2016.0,778554418
125,2015-06-12,Inside Out,175000000,356461711,853003563,90440272.0,PG,Adventure,4158.0,95.0,2015.0,678003563
126,2017-07-05,Spider-Man: Homecoming,175000000,334201140,878346440,117027503.0,PG-13,Action,4348.0,133.0,2017.0,703346440
127,2016-08-02,Suicide Squad,175000000,325100054,745744980,133682248.0,PG-13,Action,4255.0,123.0,2016.0,570744980
128,2009-05-28,Up,175000000,293004164,731463377,68108790.0,PG,Adventure,3886.0,89.0,2009.0,556463377
129,2017-10-27,Coco,175000000,210460015,797666425,50802605.0,PG,Musical,3987.0,105.0,2017.0,622666425
130,2018-11-21,Ralph Breaks The Internet,175000000,201091711,529290830,56237634.0,PG,Adventure,4017.0,112.0,2018.0,354290830
131,2009-03-27,Monsters vs. Aliens,175000000,198351526,381687380,59321095.0,PG,Adventure,4136.0,95.0,2009.0,206687380
132,2017-06-16,Cars 3,175000000,152901115,383541369,53688680.0,G,Adventure,4256.0,109.0,2017.0,208541369
133,2009-08-07,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,54713046.0,PG-13,Action,4007.0,118.0,2009.0,127469017
134,1999-06-30,Wild Wild West,175000000,113805681,221229335,27687484.0,PG-13,Adventure,3342.0,107.0,1999.0,46229335
135,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,40457770.0,PG-13,Adventure,3778.0,111.0,2008.0,230760225
136,2007-06-22,Evan Almighty,175000000,100289690,174131329,31192615.0,PG,Comedy,3636.0,96.0,2007.0,-868671
137,1995-07-28,Waterworld,175000000,88246220,264246220,21171780.0,PG-13,Action,2420.0,135.0,1995.0,89246220
138,2020-01-08,Dolittle,175000000,77047065,251410631,21844045.0,PG,Adventure,4155.0,103.0,2020.0,76410631
139,2017-05-11,King Arthur: Legend of the Sword,175000000,39175066,139630336,15371270.0,PG-13,Adventure,3702.0,126.0,2017.0,-35369664
140,2013-12-06,47 Ronin,175000000,38362475,151716815,9910310.0,PG-13,Action,2690.0,127.0,2013.0,-23283185
142,2022-05-20,Top Gun: Maverick,170000000,715270567,1478823595,126707459.0,PG-13,Action,4751.0,131.0,2022.0,1308823595
143,2018-06-06,Jurassic World: Fallen Kingdom,170000000,417719760,1308334005,148024610.0,PG-13,Action,4485.0,128.0,2018.0,1138334005
144,2014-07-31,Guardians of the Galaxy,170000000,333714112,770882395,94320883.0,PG-13,Action,4088.0,121.0,2014.0,600882395
145,2010-05-07,Iron Man 2,170000000,312433331,621156389,128122480.0,PG-13,Action,4390.0,125.0,2010.0,451156389
146,2014-03-28,Captain America: The Winter Soldier,170000000,259746958,714401889,95023721.0,PG-13,Action,3938.0,135.0,2014.0,544401889
147,2014-07-09,Dawn of the Planet of the Apes,170000000,208545589,710644566,72611427.0,PG-13,Adventure,3969.0,130.0,2014.0,540644566
